"","x"
"X2015.11.08",175515680
"X2015.11.09",179421475
"X2015.11.10",175594901
"X2015.11.11",174412750
"X2015.11.12",170172049
"X2015.11.13",161695888
"X2015.11.14",164022358
"X2015.11.15",180621132
"X2015.11.16",181868062
"X2015.11.17",182733049
"X2015.11.18",176478948
"X2015.11.19",172565447
"X2015.11.20",164625272
"X2015.11.21",170373706
"X2015.11.22",184697169
"X2015.11.23",186522723
"X2015.11.24",181409158
"X2015.11.25",177216326
"X2015.11.26",168996036
"X2015.11.27",164612764
"X2015.11.28",167663357
"X2015.11.29",179406891
"X2015.11.30",184493520
"X2015.12.01",173646117
"X2015.12.02",172110829
"X2015.12.03",170904398
"X2015.12.04",165383658
"X2015.12.05",161666188
"X2015.12.06",177078169
"X2015.12.07",186939359
"X2015.12.08",174571574
"X2015.12.09",169804323
"X2015.12.10",165447062
"X2015.12.11",162505558
"X2015.12.12",160705761
"X2015.12.13",177156499
"X2015.12.14",178890458
"X2015.12.15",168066749
"X2015.12.16",168040435
"X2015.12.17",166087599
"X2015.12.18",164489574
"X2015.12.19",161847432
"X2015.12.20",174047856
"X2015.12.21",174412131
"X2015.12.22",165007059
"X2015.12.23",165738628
"X2015.12.24",155818781
"X2015.12.25",161236343
"X2015.12.26",181728087
"X2015.12.27",179218273
"X2015.12.28",178557251
"X2015.12.29",175313506
"X2015.12.30",167921806
"X2015.12.31",166705423
"X2016.01.01",182017309
"X2016.01.02",194359465
"X2016.01.03",200097562
"X2016.01.04",198959845
"X2016.01.05",187263054
"X2016.01.06",188006324
"X2016.01.07",185596487
"X2016.01.08",185589271
"X2016.01.09",191662967
"X2016.01.10",206566069
"X2016.01.11",260602830
"X2016.01.12",214903501
"X2016.01.13",195717008
"X2016.01.14",209004706
"X2016.01.15",199299164
"X2016.01.16",197564902
"X2016.01.17",208146537
"X2016.01.18",208067119
"X2016.01.19",205162347
"X2016.01.20",195518259
"X2016.01.21",193388090
"X2016.01.22",196909305
"X2016.01.23",188554427
"X2016.01.24",203675201
"X2016.01.25",210515517
"X2016.01.26",197911974
"X2016.01.27",197396154
"X2016.01.28",186711859
"X2016.01.29",184707186
"X2016.01.30",186858017
"X2016.01.31",208279202
"X2016.02.01",209597258
"X2016.02.02",215143847
"X2016.02.03",213326977
"X2016.02.04",196514985
"X2016.02.05",194171540
"X2016.02.06",183149769
"X2016.02.07",204065816
"X2016.02.08",226685561
"X2016.02.09",200927608
"X2016.02.10",205208039
"X2016.02.11",193416564
"X2016.02.12",194177170
"X2016.02.13",192276221
"X2016.02.14",211466529
"X2016.02.15",207519361
"X2016.02.16",211010410
"X2016.02.17",201956011
"X2016.02.18",192152661
"X2016.02.19",183651953
"X2016.02.20",185163270
"X2016.02.21",200941237
"X2016.02.22",208283727
"X2016.02.23",196004049
"X2016.02.24",197209636
"X2016.02.25",194521561
"X2016.02.26",185454402
"X2016.02.27",182381912
"X2016.02.28",204120228
"X2016.02.29",249667941
"X2016.03.01",201047747
"X2016.03.02",200563308
"X2016.03.03",196834683
"X2016.03.04",192450474
"X2016.03.05",197200442
"X2016.03.06",216100027
"X2016.03.07",213313612
"X2016.03.08",201873314
"X2016.03.09",199181170
"X2016.03.10",183324546
"X2016.03.11",182088212
"X2016.03.12",172942998
"X2016.03.13",184862267
"X2016.03.14",194108014
"X2016.03.15",185886406
"X2016.03.16",191617170
"X2016.03.17",181108824
"X2016.03.18",171774943
"X2016.03.19",166883089
"X2016.03.20",178636275
"X2016.03.21",179926054
"X2016.03.22",174347083
"X2016.03.23",175254427
"X2016.03.24",169890048
"X2016.03.25",176172842
"X2016.03.26",170906840
"X2016.03.27",184801364
"X2016.03.28",193986409
"X2016.03.29",185982089
"X2016.03.30",178310604
"X2016.03.31",172608736
"X2016.04.01",171239032
"X2016.04.02",186060062
"X2016.04.03",204487747
"X2016.04.04",211473312
"X2016.04.05",203423671
"X2016.04.06",203797651
"X2016.04.07",186282665
"X2016.04.08",178550540
"X2016.04.09",177459441
"X2016.04.10",194964603
"X2016.04.11",193293207
"X2016.04.12",187243303
"X2016.04.13",185296917
"X2016.04.14",186238889
"X2016.04.15",182632510
"X2016.04.16",175727267
"X2016.04.17",192603398
"X2016.04.18",196053156
"X2016.04.19",196112112
"X2016.04.20",194539109
"X2016.04.21",210332477
"X2016.04.22",201599104
"X2016.04.23",188065316
"X2016.04.24",207086664
"X2016.04.25",201484690
"X2016.04.26",188651072
"X2016.04.27",182713228
"X2016.04.28",180640130
"X2016.04.29",173168924
"X2016.04.30",171841691
"X2016.05.01",185741092
"X2016.05.02",192639424
"X2016.05.03",193802154
"X2016.05.04",191476751
"X2016.05.05",183126300
"X2016.05.06",182792351
"X2016.05.07",177553055
"X2016.05.08",188560754
"X2016.05.09",196590986
"X2016.05.10",190891959
"X2016.05.11",183070942
"X2016.05.12",183806773
"X2016.05.13",174725681
"X2016.05.14",180077817
"X2016.05.15",196927219
"X2016.05.16",198547749
"X2016.05.17",187898585
"X2016.05.18",185542642
"X2016.05.19",182410481
"X2016.05.20",170974468
"X2016.05.21",177694821
"X2016.05.22",187118151
"X2016.05.23",194260810
"X2016.05.24",183104305
"X2016.05.25",179406902
"X2016.05.26",176607133
"X2016.05.27",168733669
"X2016.05.28",172405929
"X2016.05.29",184408809
"X2016.05.30",187837426
"X2016.05.31",179873392
"X2016.06.01",178197634
"X2016.06.02",176254678
"X2016.06.03",170047082
"X2016.06.04",184567945
"X2016.06.05",197272573
"X2016.06.06",196423061
"X2016.06.07",186334612
"X2016.06.08",185666214
"X2016.06.09",181882782
"X2016.06.10",182101860
"X2016.06.11",189295869
"X2016.06.12",209584469
"X2016.06.13",210393273
"X2016.06.14",203588352
"X2016.06.15",190905301
"X2016.06.16",186318796
"X2016.06.17",177549283
"X2016.06.18",173831342
"X2016.06.19",193337062
"X2016.06.20",205705581
"X2016.06.21",187441220
"X2016.06.22",191098818
"X2016.06.23",179887886
"X2016.06.24",184596218
"X2016.06.25",179612468
"X2016.06.26",193578818
"X2016.06.27",201211135
"X2016.06.28",188579999
"X2016.06.29",180012720
"X2016.06.30",185223214
"X2016.07.01",177357892
"X2016.07.02",182827621
"X2016.07.03",188089526
"X2016.07.04",187687907
"X2016.07.05",188773564
"X2016.07.06",204979788
"X2016.07.07",188461822
"X2016.07.08",170801688
"X2016.07.09",173793775
"X2016.07.10",203480758
"X2016.07.11",204495628
"X2016.07.12",185724031
"X2016.07.13",180363880
"X2016.07.14",176203527
"X2016.07.15",171289723
"X2016.07.16",172104038
"X2016.07.17",183280447
"X2016.07.18",187057420
"X2016.07.19",184866661
"X2016.07.20",215056777
"X2016.07.21",250692036
"X2016.07.22",274524545
"X2016.07.23",272127362
"X2016.07.24",295947073
"X2016.07.25",308034171
"X2016.07.26",307818824
"X2016.07.27",301125520
"X2016.07.28",297528285
"X2016.07.29",287681198
"X2016.07.30",275764063
"X2016.07.31",296798491
"X2016.08.01",303782821
"X2016.08.02",296411171
"X2016.08.03",272388954
"X2016.08.04",256023929
"X2016.08.05",255586900
"X2016.08.06",264807634
"X2016.08.07",273924381
"X2016.08.08",299841650
"X2016.08.09",292467811
"X2016.08.10",305062526
"X2016.08.11",296863757
"X2016.08.12",300479820
"X2016.08.13",291160213
"X2016.08.14",304248864
"X2016.08.15",316944994
"X2016.08.16",289053248
"X2016.08.17",198634475
"X2016.08.18",196721016
"X2016.08.19",192518563
"X2016.08.20",192030105
"X2016.08.21",212852693
"X2016.08.22",206453309
"X2016.08.23",201502262
"X2016.08.24",193194271
"X2016.08.25",188642867
"X2016.08.26",181450937
"X2016.08.27",185721143
"X2016.08.28",207623769
"X2016.08.29",224132038
"X2016.08.30",232287594
"X2016.08.31",231057291
"X2016.09.01",229933273
"X2016.09.02",228693546
"X2016.09.03",233095016
"X2016.09.04",247492957
"X2016.09.05",229437155
"X2016.09.06",218399282
"X2016.09.07",203263032
"X2016.09.08",190130238
"X2016.09.09",182782849
"X2016.09.10",191367220
"X2016.09.11",208843471
"X2016.09.12",202974764
"X2016.09.13",207992855
"X2016.09.14",203774895
"X2016.09.15",203378761
"X2016.09.16",182030170
"X2016.09.17",186703675
"X2016.09.18",204543176
"X2016.09.19",213588818
"X2016.09.20",195207409
"X2016.09.21",198926923
"X2016.09.22",197178476
"X2016.09.23",189604436
"X2016.09.24",183879938
"X2016.09.25",201230454
"X2016.09.26",206164111
"X2016.09.27",205412213
"X2016.09.28",200747326
"X2016.09.29",195159698
"X2016.09.30",184006480
"X2016.10.01",192428241
"X2016.10.02",207238472
"X2016.10.03",218196194
"X2016.10.04",210230913
"X2016.10.05",222779565
"X2016.10.06",222702101
"X2016.10.07",184970397
"X2016.10.08",194833849
"X2016.10.09",214491187
"X2016.10.10",215744159
"X2016.10.11",196584962
"X2016.10.12",197214704
"X2016.10.13",199247266
"X2016.10.14",191223582
"X2016.10.15",194936569
"X2016.10.16",216747296
"X2016.10.17",213659854
"X2016.10.18",203691602
"X2016.10.19",202093239
"X2016.10.20",201985759
"X2016.10.21",191243589
"X2016.10.22",188904939
"X2016.10.23",205961510
"X2016.10.24",211459512
"X2016.10.25",202437652
"X2016.10.26",193496816
"X2016.10.27",193471137
"X2016.10.28",181983203
"X2016.10.29",182250694
"X2016.10.30",200259651
"X2016.10.31",204749721
"X2016.11.01",198481557
"X2016.11.02",201020111
"X2016.11.03",205776107
"X2016.11.04",195642325
"X2016.11.05",200956095
"X2016.11.06",220756464
"X2016.11.07",219602206
"X2016.11.08",223633826
"X2016.11.09",302272416
"X2016.11.10",242919627
"X2016.11.11",227545350
"X2016.11.12",216379781
"X2016.11.13",235823494
"X2016.11.14",239362801
"X2016.11.15",219647321
"X2016.11.16",213753535
"X2016.11.17",205958680
"X2016.11.18",196470020
"X2016.11.19",197134716
"X2016.11.20",208314036
"X2016.11.21",215190999
"X2016.11.22",215130671
"X2016.11.23",203161092
"X2016.11.24",193389139
"X2016.11.25",186656031
"X2016.11.26",207985197
"X2016.11.27",222771224
"X2016.11.28",206084091
"X2016.11.29",216160779
"X2016.11.30",197217697
"X2016.12.01",195854181
"X2016.12.02",190003747
"X2016.12.03",203603885
"X2016.12.04",214750844
"X2016.12.05",213185641
"X2016.12.06",210783397
"X2016.12.07",203624320
"X2016.12.08",199839817
"X2016.12.09",192940799
"X2016.12.10",192419499
"X2016.12.11",203692120
"X2016.12.12",206326135
"X2016.12.13",196807277
"X2016.12.14",205300346
"X2016.12.15",188688156
"X2016.12.16",179074620
"X2016.12.17",181199211
"X2016.12.18",208515640
"X2016.12.19",220854276
"X2016.12.20",212933744
"X2016.12.21",201119631
"X2016.12.22",196860226
"X2016.12.23",194884736
"X2016.12.24",197644557
"X2016.12.25",215333402
"X2016.12.26",237068067
"X2016.12.27",237248109
"X2016.12.28",230782936
"X2016.12.29",237886569
"X2016.12.30",207608296
"X2016.12.31",209321794
